"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"WR","Cecil Shorts III",4500,"Jax@Was 01:00PM ET",12.669
"RB","Jonathan Dwyer",4400,"Ari@NYG 01:00PM ET",2.273
"WR","Devin Hester",4300,"Atl@Cin 01:00PM ET",0.313
"WR","Rueben Randle",4300,"Ari@NYG 01:00PM ET",8.756
"WR","Justin Hunter",4300,"Dal@Ten 01:00PM ET",5.957
"WR","Marqise Lee",4300,"Jax@Was 01:00PM ET",0
"WR","Santonio Holmes",4200,"Chi@SF 08:30PM ET",7.055
"DST","Seahawks ",4100,"Sea@SD 04:05PM ET",12.474
"WR","Harry Douglas",4100,"Atl@Cin 01:00PM ET",13.169
"RB","Steven Jackson",4100,"Atl@Cin 01:00PM ET",12.367
"TE","Dwayne Allen",4100,"Phi@Ind 08:30PM ET",9.000
"WR","James Jones",4000,"Hou@Oak 04:25PM ET",11.180
"RB","Ahmad Bradshaw",4000,"Phi@Ind 08:30PM ET",13.933
"WR","Riley Cooper",4000,"Phi@Ind 08:30PM ET",12.476
"RB","Fred Jackson",4000,"Mia@Buf 01:00PM ET",14.856
"WR","Mike Evans",4000,"StL@TB 04:05PM ET",0
"RB","Jordan Todman",3900,"Jax@Was 01:00PM ET",4.513
"TE","Kyle Rudolph",3900,"NE@Min 01:00PM ET",9.913
"WR","Kenny Stills",3900,"NO@Cle 01:00PM ET",7.594
"TE","Jason Witten",3800,"Dal@Ten 01:00PM ET",13.444
"TE","Jordan Cameron",3800,"NO@Cle 01:00PM ET",14.647
"WR","Marvin Jones",3800,"Atl@Cin 01:00PM ET",12.688
"RB","Stepfan Taylor",3800,"Ari@NYG 01:00PM ET",1.663
"TE","Delanie Walker",3700,"Dal@Ten 01:00PM ET",10.207
"RB","Stevan Ridley",3700,"NE@Min 01:00PM ET",9.713
"WR","Tavon Austin",3700,"StL@TB 04:05PM ET",10.377
"WR","Kenbrell Thompkins",3700,"NE@Min 01:00PM ET",8.123
"RB","Maurice Jones-Drew",3600,"Hou@Oak 04:25PM ET",12.735
"WR","Danny Amendola",3600,"NE@Min 01:00PM ET",10.650
"WR","Brian Hartline",3600,"Mia@Buf 01:00PM ET",12.975
"RB","Bernard Pierce",3600,"Pit@Bal 08:25PM ET",5.375
"WR","Sammy Watkins",3600,"Mia@Buf 01:00PM ET",0
"DST","Texans ",3500,"Hou@Oak 04:25PM ET",4.500
"TE","John Carlson",3500,"Ari@NYG 01:00PM ET",5.492
"TE","Brandon Myers",3500,"StL@TB 04:05PM ET",7.700
"TE","Jared Cook",3500,"StL@TB 04:05PM ET",9.381
"WR","Robert Woods",3500,"Mia@Buf 01:00PM ET",8.593
"RB","DeAngelo Williams",3400,"Det@Car 01:00PM ET",10.619
"TE","Anthony Fasano",3400,"KC@Den 04:25PM ET",6.360
"WR","Nate Washington",3400,"Dal@Ten 01:00PM ET",11.056
"WR","Malcom Floyd",3400,"Sea@SD 04:05PM ET",11.950
"TE","Jeff Cumberland",3400,"NYJ@GB 04:25PM ET",5.987
"WR","Denarius Moore",3400,"Hou@Oak 04:25PM ET",11.423
"WR","Doug Baldwin",3400,"Sea@SD 04:05PM ET",10.558
"WR","Mohamed Sanu",3400,"Atl@Cin 01:00PM ET",6.376
"RB","Benny Cunningham",3400,"StL@TB 04:05PM ET",3.429
"DST","Rams ",3300,"StL@TB 04:05PM ET",10.063
"DST","Cardinals ",3300,"Ari@NYG 01:00PM ET",10.625
"DST","Steelers ",3300,"Pit@Bal 08:25PM ET",7.313
"TE","Heath Miller",3300,"Pit@Bal 08:25PM ET",8.736
"WR","Lance Moore",3300,"Pit@Bal 08:25PM ET",7.253
"RB","Shonn Greene",3300,"Dal@Ten 01:00PM ET",5.764
"RB","Donald Brown",3300,"Sea@SD 04:05PM ET",10.217
"WR","Jacoby Jones",3300,"Pit@Bal 08:25PM ET",8.625
"WR","Jerrel Jernigan",3300,"Ari@NYG 01:00PM ET",5.640
"RB","Carlos Hyde",3300,"Chi@SF 08:30PM ET",0
"WR","Jordan Matthews",3300,"Phi@Ind 08:30PM ET",0
"RB","Isaiah Crowell",3300,"NO@Cle 01:00PM ET",0
"DST","Packers ",3200,"NYJ@GB 04:25PM ET",6.647
"DST","Patriots ",3200,"NE@Min 01:00PM ET",8.778
"DST","49ers ",3200,"Chi@SF 08:30PM ET",10.105
"DST","Buccaneers ",3200,"StL@TB 04:05PM ET",8.000
"DST","Ravens ",3200,"Pit@Bal 08:25PM ET",7.813
"TE","Marcedes Lewis",3200,"Jax@Was 01:00PM ET",7.627
"TE","Antonio Gates",3200,"Sea@SD 04:05PM ET",10.928
"TE","Charles Clay",3200,"Mia@Buf 01:00PM ET",11.963
"TE","Ladarius Green",3200,"Sea@SD 04:05PM ET",4.872
"RB","Andre Williams",3200,"Ari@NYG 01:00PM ET",0
"DST","Bengals ",3100,"Atl@Cin 01:00PM ET",10.412
"DST","Broncos ",3100,"KC@Den 04:25PM ET",7.000
"DST","Lions ",3100,"Det@Car 01:00PM ET",7.000
"WR","Jeremy Kerley",3100,"NYJ@GB 04:25PM ET",9.533
"TE","Niles Paul",3100,"Jax@Was 01:00PM ET",0.607
"TE","Jordan Reed",3100,"Jax@Was 01:00PM ET",13.078
"WR","Odell Beckham Jr.",3100,"Ari@NYG 01:00PM ET",0
"TE","Eric Ebron",3100,"Det@Car 01:00PM ET",0
"TE","Troy Niklas",3100,"Ari@NYG 01:00PM ET",0
"DST","Bills ",3000,"Mia@Buf 01:00PM ET",9.063
"DST","Raiders ",3000,"Hou@Oak 04:25PM ET",6.500
"DST","Dolphins ",3000,"Mia@Buf 01:00PM ET",7.750
"DST","Saints ",3000,"NO@Cle 01:00PM ET",6.333
"TE","Mike Leach",3000,"Ari@NYG 01:00PM ET",0.000
"WR","Santana Moss",3000,"Jax@Was 01:00PM ET",6.231
"RB","Ronnie Brown",3000,"Hou@Oak 04:25PM ET",3.172
"TE","Alex Smith",3000,"Atl@Cin 01:00PM ET",0.638
"WR","Micheal Spurlock",3000,"Chi@SF 08:30PM ET",0.000
"TE","Owen Daniels",3000,"Pit@Bal 08:25PM ET",13.440
"WR","Courtney Roby",3000,"Atl@Cin 01:00PM ET",0
"WR","Brad Smith",3000,"Phi@Ind 08:30PM ET",0.700
"TE","Daniel Fells",3000,"Ari@NYG 01:00PM ET",0
"WR","Brandon Lloyd",3000,"Chi@SF 08:30PM ET",0
"WR","Derek Hagan",3000,"Dal@Ten 01:00PM ET",0
"TE","Craig Stevens",3000,"Dal@Ten 01:00PM ET",0.167
"TE","Dante Rosario",3000,"Chi@SF 08:30PM ET",0.153
"RB","Leon Washington",3000,"Dal@Ten 01:00PM ET",0.014
"WR","Jason Avant",3000,"Det@Car 01:00PM ET",5.929
"TE","Scott Chandler",3000,"Mia@Buf 01:00PM ET",8.094
"TE","Clark Harris",3000,"Atl@Cin 01:00PM ET",0.000
"RB","Jackie Battle",3000,"Dal@Ten 01:00PM ET",1.738
"RB","Montell Owens",3000,"Det@Car 01:00PM ET",0.000
"WR","Miles Austin",3000,"NO@Cle 01:00PM ET",4.400
"WR","Andre Caldwell",3000,"KC@Den 04:25PM ET",3.121
"TE","Jacob Tamme",3000,"KC@Den 04:25PM ET",3.037
"WR","Robert Meachem",3000,"NO@Cle 01:00PM ET",4.365
"RB","Tyler Clutts",3000,"Dal@Ten 01:00PM ET",0.050
"TE","Brent Celek",3000,"Phi@Ind 08:30PM ET",7.106
"WR","Eric Weems",3000,"Atl@Cin 01:00PM ET",0.113
"WR","Matthew Slater",3000,"NE@Min 01:00PM ET",0.000
"RB","Frank Summers",3000,"Mia@Buf 01:00PM ET",2.100
"TE","Benjamin Watson",3000,"NO@Cle 01:00PM ET",3.429
"WR","Jerricho Cotchery",3000,"Det@Car 01:00PM ET",10.544
"WR","Josh Morgan",3000,"Chi@SF 08:30PM ET",3.050
"WR","Eddie Royal",3000,"Sea@SD 04:05PM ET",9.906
"WR","Ted Ginn Jr.",3000,"Ari@NYG 01:00PM ET",8.347
"TE","Brandon Pettigrew",3000,"Det@Car 01:00PM ET",6.686
"RB","Jerome Felton",3000,"NE@Min 01:00PM ET",0.746
"TE","Zach Miller",3000,"Sea@SD 04:05PM ET",6.547
"TE","Darren Fells",3000,"Ari@NYG 01:00PM ET",0
"TE","Bear Pascoe",3000,"Atl@Cin 01:00PM ET",1.269
"RB","Peyton Hillis",3000,"Ari@NYG 01:00PM ET",8.329
"RB","Cedric Peerman",3000,"Atl@Cin 01:00PM ET",0.100
"RB","Mike Tolbert",3000,"Det@Car 01:00PM ET",7.382
"RB","Tony Fiammetta",3000,"Chi@SF 08:30PM ET",0.606
"RB","Jed Collins",3000,"Det@Car 01:00PM ET",1.661
"TE","Gary Barnidge",3000,"NO@Cle 01:00PM ET",2.356
"RB","Will Ta'ufo'ou",3000,"Jax@Was 01:00PM ET",0.881
"WR","Darrius Heyward-Bey",3000,"Pit@Bal 08:25PM ET",4.147
"RB","John Kuhn",3000,"NYJ@GB 04:25PM ET",2.481
"WR","Seyi Ajirotutu",3000,"Sea@SD 04:05PM ET",0.963
"RB","Darren McFadden",3000,"Hou@Oak 04:25PM ET",10.234
"WR","Brandon Tate",3000,"Atl@Cin 01:00PM ET",0.094
"TE","David Johnson",3000,"Sea@SD 04:05PM ET",2.200
"RB","Darrel Young",3000,"Jax@Was 01:00PM ET",3.015
"TE","Clay Harbor",3000,"Jax@Was 01:00PM ET",4.013
"TE","Ed Dickson",3000,"Det@Car 01:00PM ET",3.644
"RB","Jonathan Stewart",3000,"Det@Car 01:00PM ET",4.900
"WR","David Nelson",3000,"NYJ@GB 04:25PM ET",7.525
"RB","Antone Smith",3000,"Atl@Cin 01:00PM ET",1.967
"WR","Brandon Gibson",3000,"Mia@Buf 01:00PM ET",11.514
"TE","Logan Paulsen",3000,"Jax@Was 01:00PM ET",4.419
"RB","Jorvorskie Lane",3000,"StL@TB 04:05PM ET",0
"TE","Garrett Graham",3000,"Hou@Oak 04:25PM ET",10.423
"TE","Andrew DePaola",3000,"StL@TB 04:05PM ET",0
"WR","Brandon LaFell",3000,"NE@Min 01:00PM ET",9.071
"TE","Richie Brockel",3000,"Det@Car 01:00PM ET",0.076
"WR","Kevin Ogletree",3000,"Det@Car 01:00PM ET",3.744
"TE","David Ausberry",3000,"Hou@Oak 04:25PM ET",0
"TE","Jim Dray",3000,"NO@Cle 01:00PM ET",3.656
"RB","Erik Lorig",3000,"NO@Cle 01:00PM ET",1.047
"WR","Kris Durham",3000,"Dal@Ten 01:00PM ET",6.125
"TE","Virgil Green",3000,"KC@Den 04:25PM ET",0.811
"TE","John Phillips",3000,"Sea@SD 04:05PM ET",0.467
"RB","Shaun Draughn",3000,"Chi@SF 08:30PM ET",0.067
"TE","Ryan Taylor",3000,"NYJ@GB 04:25PM ET",0.600
"WR","Preston Parker",3000,"Ari@NYG 01:00PM ET",0
"WR","Greg Salas",3000,"NYJ@GB 04:25PM ET",2.788
"RB","Mario Harvey",3000,"Phi@Ind 08:30PM ET",0.000
"RB","Marcel Reece",3000,"Hou@Oak 04:25PM ET",7.174
"WR","Dwayne Harris",3000,"Dal@Ten 01:00PM ET",2.662
"RB","Bruce Miller",3000,"Chi@SF 08:30PM ET",3.614
"TE","Rob Housler",3000,"Ari@NYG 01:00PM ET",6.954
"TE","Kyle Nelson",3000,"Chi@SF 08:30PM ET",0.000
"TE","Matthew Mulligan",3000,"Chi@SF 08:30PM ET",0.659
"WR","Bryan Walters",3000,"Sea@SD 04:05PM ET",0.000
"TE","Mickey Shuler",3000,"Jax@Was 01:00PM ET",0
"WR","Andre Roberts",3000,"Jax@Was 01:00PM ET",6.381
"TE","Lance Kendricks",3000,"StL@TB 04:05PM ET",5.453
"RB","Anthony Dixon",3000,"Mia@Buf 01:00PM ET",1.668
"WR","Jeremy Ross",3000,"Det@Car 01:00PM ET",2.592
"RB","Chase Reynolds",3000,"StL@TB 04:05PM ET",0.000
"TE","Jermaine Gresham",3000,"Atl@Cin 01:00PM ET",8.813
"TE","Michael Hoomanawanui",3000,"NE@Min 01:00PM ET",2.567
"WR","Joseph Morgan",3000,"NO@Cle 01:00PM ET",0
"WR","Stevie Johnson",3000,"Chi@SF 08:30PM ET",11.225
"TE","Lee Smith",3000,"Mia@Buf 01:00PM ET",0.800
"TE","Luke Stocker",3000,"StL@TB 04:05PM ET",0.000
"RB","Dexter McCluster",3000,"Dal@Ten 01:00PM ET",8.819
"WR","Mike Williams",3000,"Mia@Buf 01:00PM ET",9.267
"WR","Kenny Britt",3000,"StL@TB 04:05PM ET",1.717
"TE","Andrew Quarless",3000,"NYJ@GB 04:25PM ET",4.529
"RB","James Develin",3000,"NE@Min 01:00PM ET",0.956
"WR","Ryan Broyles",3000,"Det@Car 01:00PM ET",2.750
"RB","Fozzy Whittaker",3000,"Det@Car 01:00PM ET",4.029
"WR","Marcus Easley",3000,"Mia@Buf 01:00PM ET",0.206
"WR","Austin Pettis",3000,"StL@TB 04:05PM ET",6.369
"TE","James Casey",3000,"Phi@Ind 08:30PM ET",0.381
"TE","Adrien Robinson",3000,"Ari@NYG 01:00PM ET",0.000
"RB","Matt Asiata",3000,"NE@Min 01:00PM ET",3.900
"RB","DuJuan Harris",3000,"NYJ@GB 04:25PM ET",0
"WR","Deonte Thompson",3000,"Pit@Bal 08:25PM ET",2.800
"RB","Daniel Herron",3000,"Phi@Ind 08:30PM ET",1.667
"WR","Dane Sanzenbacher",3000,"Atl@Cin 01:00PM ET",1.210
"RB","Henry Hynoski",3000,"Ari@NYG 01:00PM ET",0.500
"TE","Rhett Ellison",3000,"NE@Min 01:00PM ET",1.555
"RB","Joe McKnight",3000,"KC@Den 04:25PM ET",0
"WR","Nick Toon",3000,"NO@Cle 01:00PM ET",1.350
"WR","Dontrelle Inman",3000,"Sea@SD 04:05PM ET",0
"TE","Coby Fleener",3000,"Phi@Ind 08:30PM ET",9.600
"WR","Kamar Aiken",3000,"Pit@Bal 08:25PM ET",0
"RB","Robert Hughes",3000,"Ari@NYG 01:00PM ET",1.600
"RB","Travaris Cadet",3000,"NO@Cle 01:00PM ET",0.567
"RB","Anthony Sherman",3000,"KC@Den 04:25PM ET",2.759
"WR","Mike Brown",3000,"Jax@Was 01:00PM ET",8.236
"WR","Aldrick Robinson",3000,"Jax@Was 01:00PM ET",4.131
"WR","Jeff Maehl",3000,"Phi@Ind 08:30PM ET",0.982
"RB","Robert Turbin",3000,"Sea@SD 04:05PM ET",2.384
"TE","Larry Donnell",3000,"Ari@NYG 01:00PM ET",0.381
"RB","Bilal Powell",3000,"NYJ@GB 04:25PM ET",8.944
"RB","Will Johnson",3000,"Pit@Bal 08:25PM ET",1.131
"RB","Roy Helu Jr.",3000,"Jax@Was 01:00PM ET",6.719
"WR","Junior Hemingway",3000,"KC@Den 04:25PM ET",2.441
"RB","Patrick DiMarco",3000,"Atl@Cin 01:00PM ET",0.921
"TE","Zach Sudfeld",3000,"NYJ@GB 04:25PM ET",0.807
"TE","James Hanna",3000,"Dal@Ten 01:00PM ET",1.206
"TE","Travis Kelce",3000,"KC@Den 04:25PM ET",0.000
"RB","Cyrus Gray",3000,"KC@Den 04:25PM ET",0.853
"RB","Austin Johnson",3000,"NO@Cle 01:00PM ET",0
"RB","LeGarrette Blount",3000,"Pit@Bal 08:25PM ET",9.456
"RB","Chris Polk",3000,"Phi@Ind 08:30PM ET",2.369
